direccion	tamano	nombre_ghidra	decompila_limpio	estado	nota
80013664	292	FUN_80013664	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80013664.c:4: parse error before `?'
8002c9ec	292	FUN_8002c9ec	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8002c9ec.c:3: parse error before `?'
80043b44	292	FUN_80043b44	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80043b44.c:5: parse error before `?'
80012c60	296	FUN_80012c60	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80012c60.c:2: parse error before `?'
80035328	296	FUN_80035328	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80035328.c:2: parse error before `?'
80025bac	308	FUN_80025bac	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80025bac.c:15: request for member `unk4' in something not a structure or union
8002c8b8	308	FUN_8002c8b8	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8002c8b8.c:2: parse error before `?'
80050f6c	308	FUN_80050f6c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80050f6c.c:2: parse error before `?'
8004d6cc	316	FUN_8004d6cc	si	NO_COMPILA	NO_COMPILA (ld): mipsel-linux-gnu-ld: src/croc2exe/FUN_8004d6cc.c:(.text+0xfc): undefined reference to `D_80068628'
80050e30	316	FUN_80050e30	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80050e30.c:2: parse error before `?'
80029558	324	FUN_80029558	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80029558.c:12: too few arguments to function `FUN_800284e0'
8002f034	324	FUN_8002f034	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8002f034.c:2: parse error before `?'
8003c1b0	324	FUN_8003c1b0	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8003c1b0.c:12: `saved_reg_gp' undeclared (first use this function)
8004d83c	324	FUN_8004d83c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004d83c.c:3: parse error before `?'
800290cc	328	FUN_800290cc	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800290cc.c:2: parse error before `?'
8003c5d8	328	FUN_8003c5d8	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8003c5d8.c:4: parse error before `?'
80043650	328	FUN_80043650	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80043650.c:8: parse error before `?'
8004b22c	328	FUN_8004b22c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004b22c.c:2: parse error before `?'
80028c80	332	FUN_80028c80	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_80028c80.c:2: parse error before `?'
800510a0	332	FUN_800510a0	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800510a0.c:2: parse error before `?'
800318e4	336	FUN_800318e4	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_800318e4.c:15: request for member `unk60' in something not a structure or union
8004d57c	336	FUN_8004d57c	si	NO_COMPILA	NO_COMPILA (cc1): src/croc2exe/FUN_8004d57c.c:4: parse error before `?'
